"productAsin","ratingScore","reviewTitle","reviewDescription","date","country","variant","isVerified","position","reviewUrl"
"B0826NKZHR","5","Amazing book that puts characer development before story","I'm reading a lot of negativity around the lack of action in ROW. I think the type of reader you are might influence how you feel about it. This book is about character development through and through, and doesn't really advance the story at all. Honestly the story is at the same place it was after SA3. But you know what, that's ok by me because the character development was so incredible. Now even on the subject of character development I see lots of complaints. People are sick of Shallan dealing with mental illness, or Kaladin dealing with his father. If you want a standard fantasy trope of the ""good guy"" growing up and beating the ""bad guy,"" I'm not so sure this series is for you. The characters are painted in all sorts of grey shades and have a lot of negatives about them, just like you and me, it makes them feel so much more real. The struggles they go through has put a tear to my eye more than once, and I can't say that about a lot of characters I've come across in any medium! Brandon's attention to detail even extends to the ""bad guys,"" with some really good development and backstory of some, and even the main ""bad guy"" is painted in shades of grey and has a development arc. Otherwise the writing was superb, but again short on action. The biggest action was at the end, those few chapters were well worth the read, especially because that character development brought those characters so much closer to me. But I get it, on some level Brandon may be falling to the same sickness Robert Jordan had, that of writing books just to milk the series. But if that's the case I really don't care, because I know one day (like with WOT) I will have to say goodbye to these characters forever. If you like SA, especially if you love the characters, don't hesitate to pick up this book. Just appreciate it for what it is, one long character development study with not much action or story progression.","2022-01-24","United States","","true","1","https://www.amazon.com/gp/customer-reviews/RJKFXCWF86EMN"
"B0826NKZHR","5","Life before death.","Is it even possible to give these books less than five stars? Is it even allowed? Every time we are blessed with a new book in the Stormlight Archive, it becomes one of the best books I've ever read. Plain and simple. They're just that fun. They reach those heights, that level of epic. A forewarning, this review will be unfettered praise. I somehow seem to forget just how much I love this series between installments. It's only natural I suppose, to need to immerse yourself in something again to remember just how much it grips you, but still, I seem to forget. It's just such a good story. Every little piece of it. The more we learn the more fun it is, and it is already a massive, interwoven, deliciously complex story. I can't get enough. And so when a new installment appears, I am consumed. Not just in the story itself, but the universe of which it is part. The story, the Coppermind entries, the WoB, all of it. Consumed. Rhythm of War starts extremely strong. The one year time-jump makes catching up to the new norm a very fun experience. Our favorite characters are challenged in new and distinct ways: by forcing them to re-examine what it means to uphold their Oaths, by requiring them to face truths at the risk of losing the love around them, by pushing them to shed doubt in the face of danger, by challenging them to seek freedom when it would be so much easier to give up. In a series known for upping the ante with each new book, this installments still feels fresh; like an important piece of the puzzle, and a natural extension of the story. One gets the sense that Brandon knows exactly what he's doing... And so I was enthralled. Having just finished it, I still am. There's nothing like the last stretch of a Sanderson book. He may be the only author who leaves you with more questions than you had when you began, but I thank him for it. He takes you up to the highest highs, and let's you ponder the future, marinating in the experience. His books are just so cool. And that sounds trite, but it's really not. No other books make me sit back and think ""Damn, that is so cool"" as often as Sanderson's. It's just a fact. And no they aren't literary masterworks or Pulitzer Prize winners, but the complaints that I used to see--hell, the complaints that I used to have--about his books are hard to apply these days. His skills have grown in noticeable and appreciated ways as things like character development and emotionally charged scenes become a major strong point in his work. I go on and on about Brandon's worldbuilding, everyone does. But there's a damn good reason for that. Because as much as he is growing in other areas, worldbuilding and plotting remain his major strengths. He builds the kinds of worlds that are so interesting you stay up thinking about one little piece of them when you should be sleeping. Roshar--and the greater cosmere in general--is an incredible place to visit, and one that grows more enticing by the page. It is science-fiction flavored fantasy in the same way that something like Dune is fantasy flavored science-fiction. And for someone like me, that's a homerun. No review of this book could even come close to summarizing all my thoughts on it. Installments of the Stormlight Archive are massive, and each one is a lengthy experience. A lot runs through your head during a thousand pages; more than a thousand. Plus, to truly review this book I would need to delve into the most massive of massive spoilers. But I will say this... There is no doubt that the Stormlight Archive is Brandon's best series; he admits this himself. 'Magnum Opus' may be the term thrown around down the line. As such, this is the series where he's really starting to open things up, as far as the greater cosmere is concerned. It’s still on a small enough scale that you don’t have to have any idea what I’m talking about, but the connections are flowing. He is no longer being coy about the existence of other planets, and the ability to travel to and from said planets. It’s right there in the text, and it’s all starting to come out. So what that does is get readers who may have never read any of his books other than Stormlight really excited for the cool things they’ve yet to discover. And it also offers a hugely rewarding reading experience for those who have read the other cosmere books, as we piece things together and notice all the ""hidden"" gems. The balance Brandon has achieved in this is nothing short of remarkable. I won't pretend his books are for everyone. Sometimes people want something more, and what's more subjective than one's reading material? But if you're looking for a fun world to immerse yourself in, with a master storyteller at the helm, pick up a book by Brandon Sanderson. Maybe I'll see you on the other end of the rabbit hole.","2020-12-06","United States","","true","2","https://www.amazon.com/gp/customer-reviews/RQXAM1057UB7C"
"B0826NKZHR","5","The best modern work of fantasy I've ever read","Taking Tolkien out of the equation, as someone who read all of wheel of time and all of the current 5 game of thrones( my with a clash of kings in game of thrones ranking as my favorite), I understand this to be a bold claim. This book is a payout on the investment of the prior 3 books and reveals that no detail no character in the first 3 books was wasted. All of the characters, the events are leading up to something-an epic world, with a story worth re-reading. Warning, this book starts off slow. It took 300 to 400 pages for it to get going. When I arrived at the thought "" the pacing is too slow in this one"", the narrative takes off and doesn't slow till the end. Brandon Sanderson does such a great job of writing characters as humans, addressing depression, trauma, and dementia in his characters in a human and compassionate way. He ties up almost every lose end in this book whole still keeping the reader invested in what happens next. This book made me consider rereading the first 3 because it points to how the events in the first book continues to have echoes in this expansive rich universe Brandon Sanderson has created. In fantasy, its a book that made me feel all of the emotions, exuberance, despair, sadness, and hope. There's a scene in the book that made me tear up, something I never expected a book would make me do. He treats the characters with amazing tenderness and provides closure to many character arches.. If you want action, complex characters, fantasy, and rich story telling, this book has it and this series is for you.","2024-01-16","United States","","true","3","https://www.amazon.com/gp/customer-reviews/R3OJY77PXFXM31"
"B0826NKZHR","4","Great story, with some minor plot issues and some bigger editorial issues","Another huge, impressive, fast-moving book in what is one of the best fantasy series of the last decade, that would be a 5-star review with a better focus on the edit and a few limitations on intentionally confusing the reader. I give it a big recommendation for fans of high fantasy, with the hopes that some of these issues will be cleared up (though, to be honest, I'm going to read the rest of the series even if those persist). The fourth book in the Stormlight Archive series sees all of the main protagonists going through personal crises. Dalinar, Radiant Bondsmith and king of Urithiru, the mystical city of Radiants, is struggling both to understand his powers and to maintain the alliance of nations against the threat of the Fused, the enemy that arose from the strange race of former slaves now infused with powers from the dark god Odium, and also trying to outthink the traitor-king Taravangian. Navani, Dalinar's scholar wife and former sister-in-law, works tirelessly to study fabrials, the gems capturing magic spren that allow feats of wonder like flight (not to mention the full functions of the city itself), but despite making great advances, she still views herself as fraudulent, a scholar in name only. Kaladin Stormblessed, Radiant Windrunner and Captain of Dalinar's armed forces, has a mighty bout of battle-shock, freezing against an enemy in the worst of times, causing him to suffer one of his dark times of self-doubt and nihilism. Shallan, Radiant Lightweaver and wife of Dalinar's son Adolin, is beginning to lose herself to the two other ""faces"" she wears under her illusions, giving way to a nefarious third alternate persona that may hide a secret from her past, and leading her into taking missions for a mysterious secret society that promises her the answers she seeks. Adolin struggles to find his purpose, when it seems all those around him are bursting with special powers and divine responsibilities while he spends his days studying the latest fashions and the now-obsolete art of dueling. When the Fused manage to invade and occupy Urithiru while Dalinar is away in the west prosecuting the war, thereby cutting off the alliance from use of the teleporting powers of the Oathgates, all of these main actors, and their hundreds of supporting characters, are left to resist as well as they can during their most difficult personal times. As always in this series, and indeed with every other book by Sanderson I've read, there's a metric ton of action equal to the multifarious interlacing storylines. If you like war stories, there's lots of fighting; if magic is your thing, that's there on virtually every page in multiple forms; if political intrigue is up your alley, this story presents so many factions and internecine plots that you may need a flowchart. The plot moves quickly, and the book is hard to put down, with character arcs that are mostly satisfying for what is essentially one of the middle books of this incredibly lengthy planned series. Sanderson obviously has planned the series in such detail that he's got thousands of plot points to dole out over the course of ten 1200+ page books, even if his plan is still inchoate and undiscernible to the reader at this point in the story. It does seem that there's an almost intentional confusion of magic systems and histories on the part of the author, so that the entire backstory leading up to the current page is never solidly formed in the reader's mind, as every few hundred pages a new revelation throws everything the reader previously understood on its head. It also seems that the author is trying to form a Grand Unified Theory of Nerdiness by attempting to combine high fantasy, urban fantasy, sci-fi, steampunk, and political thrillers into a single tale, to the point where at times the efforts seem slightly disjointed. A corollary to this is that a series of this size and scope that might see a handful of years between new books NEEDS to have an appendix with a Dramatis Personae and a glossary; while there's a short description of the various magic systems at the end of this book, there's nothing to remind the reader who all the hundreds of characters are and what their positions/powers might be. And I've said it before: the fact that Lift, one of the absolute best characters in the entire series, doesn't have a larger, central role in the main narrative is unforgivable, and to wait 550+ pages in this book to reintroduce her is a mortal sin -- if she's good enough for a stand-alone novella, she's good enough for a few dedicated chapters in a book more than a thousand pages long. As for mechanics, I was less than pleased. The book is rife with split infinitives, the use of ""the times where"" (vs ""the times when""), spelling mistakes (like ""rifled through"" instead of ""riffled through""), subject/pronoun disagreement, employment of em dashes when literally any other punctuation mark would be more appropriate; the use of ""reveal"" as a noun; and other grammarian pet peeves that disturb my zen. I understand that in this permissive era of writing, many of these are guidelines rather than rules, but the use of colloquial internet-English in a high fantasy takes the reader out of the ""high"" part of the fantasy in a way that is completely avoidable by following a few grammar, punctuation, and syntax rules. On top of this, the unbelievably impressive illustrations in this book are nearly ruined by accompanying text that is so difficult to read because of font and font size (EVEN IN HARDBACK SIZE) that they may as well be written in alien script. Listen, I love this series and most other things by Sanderson I've read, but I can love a thing and want it to be better. So, it's a 5-star story (with a HUGE RECOMMENDATION for fans of high fantasy), with some troubling plot issues and some seriously problematic editorial issues. I'm investing a boatload of time in reading these massive tomes of his, and I hope he respects that time investment enough to cure some of these foibles. Overall, though, big ups to this series.","2021-01-17","United States","","true","4","https://www.amazon.com/gp/customer-reviews/R1POO3ZFSXR537"
"B0826NKZHR","5","An incredible work of modern fantasy","On occasion, there comes a piece of art into the world that comes to refine and redefine its genre. Just as 'Star Wars' came to be emblematic of the space opera and summer blockbuster, and 'Scream' reinvigorated the slasher film, I firmly believe 'Rhythm of War'--and more broadly, the Stormlight Archive as a whole--to be a landmark novel in the genre of modern fantasy, and a novel which everyone should read. At its heart, what sets 'Rhythm of War' apart from other modern fantasy is its relevance, its originality, and its optimism. Not coincidentally, these are three reasons why the novel should be read. In terms of relevance, we live in a world of contention and chaos. Mental health problems are continually on the rise, there is political and cultural turmoil around the globe, and we as a race have yet to deal with the awful specters of racism, poverty, and sexism. While many modern fantasy novels deal with such themes, there is a tendency towards the fantastical--to brush aside reality in favor escapism. Not so with the Stormlight Archive! Amidst the fantasy of epic battles and arcane mysteries of the novels, we are treated to characters who battle realistically with depression, who struggle to reconcile differences of belief and ideals, and who struggle with both external and internal racism and sexism. In 'Rhythm of War', Sanderson is able to effectively create a compelling fantasy narrative that is nonetheless nested in the personal struggles common to all humanity. And what a narrative it is! I will freely admit that Sanderson has certain flaws as a writer, such as an over-reliance on a few favorite 'pet tropes.' Yet, despite his weaknesses, this man EXCELS at crafting unique narratives and settings. Foreshadowing seems to come second nature to the man, but he does it with all the subtlety of a master painter. His world-building is unparalleled amongst his contemporaries, in part because of how well thought out it is. To give you a sense of what this man is capable of, he's invented a set of laws that dictate exactly how all magic in his written universe work. You heard me right--Sanderson invented a set of magical physics for the specific purpose of ensuring his world-building is consistent. Finally, while Sanderson's writing is both relevant and creative, there is something more than this that sets apart 'Rhythm of War' and the Stormlight Archive as a whole. We see in modern fantasy a trend towards the dark and the gritty, evident in series like 'Game of Thrones' and 'The Witcher.' While these shows and novels are not necessarily bad, they create the unfortunate connotation that 'real art' must be dark, fetid, Machiavellian, needlessly violent, and filled with gratuitous sex--in a word, cynical. Furthermore, these series treat the problems of their world as a given, in a way 'giving-in' to their cynicism, admitting that it is a part of life and reality. This is where Sanderson truly shines apart, and why 'Rhythm of War' is so essential for the modern reader. It doesn't shy away from violence, nor from showing that people have great potential for cruelty and villainy. However, despite all of the terrible things that happen in the novel, Sanderon's characters consistently show that just because our world is bad, doesn't mean it cannot become better. Where other novels choose cynicism as a means of coping with the realities of an imperfect world, 'Rhythm of War' opts instead for optimism, and in doing so gives the modern reader a reminder that there is always hope for a better world, provided we are willing to sacrifice for it. In the interest of time, I'm cutting my review here short. In summation: if you are looking for a creative book, that is truly engaging and original, read this! If you are looking for a fantasy novel that is nonetheless relevant to modern life, read this! And finally, if you are sick and tired of seeing pessimism and cynicism dominate the literary landscape, and want something hopeful instead, read this! One final note: yes, the book is long. Over 1000 pages, to be semi-exact. For some, this is a deterrent. Don't sweat it! It reads quite easily, and the series flows very smoothly. May I also point out that you just read this entire review, and I promise you--it's a lot more fun than my writing!","2022-02-11","United States","","true","5","https://www.amazon.com/gp/customer-reviews/R290KZ8S7ZVSZX"
"B0826NKZHR","5","Another great read!","The character development and story telling is superb. The twists and turns will keep you reading and as always, the action is so good, I found myself rereading pages more than once. I'm ready to start the 5th book....here we go!","2025-05-20","United States","","true","6","https://www.amazon.com/gp/customer-reviews/R1OU68G34BER00"
"B0826NKZHR","5","Masterpiece","There are books you can simply call masterpieces and this is certainly one of them. Reading this you will doubt this can really be the work of a man, it’s far too well though, packed with so much information, so much story it’s feels impossible. I read this book non stop, paused everything and just read. Anything else was a break, a distraction. Not many books give you this feeling, this necessity to go to the next page and the next after and you just can’t resist. And I cried, not just once. The moments were powerful and not telegraphed. It was inspiring and the depth of ideas presented, sentiments was mindnumbling. You will find heroes and enemies all masterfully shaped, a plethora of them and you won’t rush to your favorite because they all have something to give. The story is good and the revelations plenty. You will be in shock and awe struggling to fit it all in the end. It was so much, how / what will fill the next books when we got so much here. To be honest we got so much more knowledge this book more than any other in the series. I hope this doesn’t kill the mystery from the future ones. Now the pacing was very good. It started really strong and to be frank it slowed down at 50%. I expected the last 15% of the book to happen right at the 50% but the next 35% was theory and character building. A touch slower than the rest of the book but still fulfilling. Usually, I feel sad when such a good book ends, but this one I know I will re-read for sure, hopefully at a slower pace and enjoy it again and again. If you are reading this anyway I’m sure you are already sold on the series! Enjoy it","2021-03-04","United States","","true","7","https://www.amazon.com/gp/customer-reviews/R2FVRJIOPMM1TO"
"B0826NKZHR","5","The next Tolkien/Jordan prodigy","My favorite author, in modern times, hands down, is Mr. Sanderson! I first came across Mr. Sanderson when I fell in love with the 'Wheel of Time' (WoT) series, but was crushed upon hearing of Robert Jordans death. I was both; saddened for him personally, as well as, his lovely wife, and for his masterful series being left unfinished. Mrs. Jordan did the world's heart a solid in seeing the WoT series completed, and she fought through this terrible ordeal of greif, like a brave Aes Sedai from the WoT series. In hand picking an author to complete WoT, the greatest thing to happen to the fantasy/science fiction genre, is when she chose Mr. Sanderson. Thus, from out of the cold, unforgiving void of emptiness, came the shining, valiant Radiant-knight, Mr. Sanderson himself, to give us hope and a new author to discover-well, new to me at least. Since completing the WoT series, I was all in for Brandon. I have read everything, and I mean everything, he has put out for the public, and let me tell you, you will find no better writer than Brandon. He weaves so many intriguing, intricate sub plots in all his books. His magic system is so very unique, and quite believable by fantasy novel standards. His character building-coupled with his uncanny ability to place the reader in his minutely detailed world-is simply astounding. Topping it all off with random easter eggs planted in all the series.. They say, and I find it to be true myself, that you really can not just put down a Sanderson book, the time will fly when you are immersed in Brandon's works. I really think Tolkien would be immensely proud of and impressed with him, and I know that the late, great Mr. Jordan would be! Sorry for the long-winded review, but I really want to convey to good authors and publishers of grand works, the respect and appreciation that they deserve. A lot of hard work, creativity, and soul is poured into these books, and that is something that shouldn't be taken lightly. The Stormlight Archives are so freaking amazing, please do yourself a favor and read these books, you most certainly will not regret it. Promise! I didn't want to put too much of the story or plots of the Stormlight series in this review, so as not to spoil the books for would-be purchasers. Trust me though, they are worth every penny-really im surprised they aren't priced higher-I wont complain though.","2020-12-05","United States","","true","8","https://www.amazon.com/gp/customer-reviews/R1LCPXUFCDZCM4"
"B0826NKZHR","5","Highly recommend these books if you love fantasy and other worlds","I love this series as an audible book. I have been listening to it on my commute and it really helps reduce my attention on annoying drivers. I will say that it was amazing how hard the first few chapters were to get into. It seemed really complicated with too much technical, but suddenly you are IN IT and you are hooked on the books. It was weird how that happened. These books really tell a lot of good life lessons, concepts on strategy, and overall complications of different cultures. I would definitely recommend these books to people who enjoy fantasy, war, drama.","2025-07-27","United States","","true","9","https://www.amazon.com/gp/customer-reviews/R35UJOV9RPWV52"
"B0826NKZHR","5","Kindle version is glitchy and will not always take you to the next page","This isn’t a review about the book itself, but my kindle version will randomly jump to the chapter list at the very end. It’s happened twice so far no matter what I do and at the same place. At the end of part 1, when I hit the next page to go to the interlude it takes me all the way back to the chapter list. And the same thing for the end of the interlude to go to part 2. It takes me to the chapter list when I hit the next page. The only way I can get to the beginning of the interlude or start of part 2 is by finding it in the list of chapters. I am not sure if it’s like this for the whole book but it’s very annoying. I can’t just go to the next page it jumps around.","2025-05-08","United States","","true","10","https://www.amazon.com/gp/customer-reviews/R2IU64OMPLYHEE"
